05-12-2022 01:06:44.920 | 1035 | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 5661 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:06:44.923 | 1038 | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:06:49.519 | 5634 | [main] | INFO  | c.o.OrderManagerApplicationTests - Started OrderManagerApplicationTests in 4.91 seconds (process running for 6.406)
05-12-2022 01:08:41.784 | 918  | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 5876 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:08:41.790 | 924  | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:08:45.874 | 5008 | [main] | INFO  | c.o.OrderManagerApplicationTests - Started OrderManagerApplicationTests in 4.346 seconds (process running for 5.725)
05-12-2022 01:16:42.677 | 723  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 7027 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:16:42.679 | 725  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:16:46.126 | 4172 | [restartedMain] | INFO  | com.order.OrderManagerApplication - Started OrderManagerApplication in 3.757 seconds (process running for 4.794)
05-12-2022 01:16:46.131 | 4177 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 01:16:46.131 | 4177 | [restartedMain] | INFO  | com.order.OrderManagerApplication - ORDER MANAGER SYSTEM - LUIS MAGNO NOVAES - rel:1.0 - 12/2022
05-12-2022 01:16:46.131 | 4177 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 01:16:53.439 | 11485 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - *************************************************************
05-12-2022 01:16:53.439 | 11485 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService -            ORDER MANAGER SYSTEM - CREATE ORDER            
05-12-2022 01:16:53.439 | 11485 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - *************************************************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | ERROR | com.order.service.LoggerService - Error detail: Error system servicejava.lang.NullPointerException: Cannot invoke "com.order.model.Item.getId()" because "itemEntity" is null                                                            
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | ERROR | com.order.service.LoggerService - Error detail: Error system service buildOrder null!                                                            
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | ERROR | com.order.service.LoggerService - Error detail: Erro operation create order : STOCK_MOVEMENT_INSUFFICIENT_ITEM                                                            
05-12-2022 01:16:53.669 | 11715 | [http-nio-8080-exec-2] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 20:45:09.547 | 835  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 17457 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 20:45:09.551 | 839  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 20:45:14.343 | 5631 | [restartedMain] | INFO  | com.order.OrderManagerApplication - Started OrderManagerApplication in 5.194 seconds (process running for 6.633)
05-12-2022 20:45:14.347 | 5635 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 20:45:14.348 | 5636 | [restartedMain] | INFO  | com.order.OrderManagerApplication - ORDER MANAGER SYSTEM - LUIS MAGNO NOVAES - rel:1.0 - 12/2022
05-12-2022 20:45:14.348 | 5636 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 20:51:00.546 | 1095 | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 18112 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 20:51:00.550 | 1099 | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 20:51:04.411 | 4960 | [main] | INFO  | c.o.OrderManagerApplicationTests - Started OrderManagerApplicationTests in 4.227 seconds (process running for 5.571)
05-12-2022 21:12:11.358 | 962  | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 20557 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 21:12:11.363 | 967  | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
